tweet_id,text,author_id
2112812,@AppleSupport Nope 🤔,623037
656269,@AppleSupport They are not on the same iOS one is 11.0.2 and the other is 11.1.2 I am updating the iPhone 8plus now and Ithink this should fix the problem so both are on the same software version,276131
1697420,@AppleSupport thank you,514881
2137303,@AppleSupport I️ thought that was a good idea but I️ can see that it isn’t working https://t.co/NBPFOxXHcE,628699
32421,@AppleSupport After it says verifying it restarts automatically,123188
1932600,@AppleSupport Is this what you want? https://t.co/4f0AP0c3uz,265100
2220889,@AppleSupport Confirmed. Doesn't Respect volume setting  at all,381981
2747329,@AppleSupport Thank you will do,769290
2302327,"@AppleSupport Yes ""there was an error downloading the software""",666880
304447,@AppleSupport @AppleSupport thanks for the info! Would have been maybe helpful to have a video on the phone to explain these things with the new IOS.,188704
2309382,@AppleSupport Sizin allah belanızı versin,669812
873922,"@AppleSupport Phone shuts off when it wants no matter the battery life. And made my phone sluggish. I’m confused, aren’t updates out there to improve",327474
2805167,@AppleSupport @782410 Should I upgrade my IPhone 6 Plus to OIS 11? Thank you.,782411
612893,@AppleSupport What about seeing that in messages on my MacBook Air?,355605
1586294,@AppleSupport Thank you,488024
594008,@AppleSupport It’s iOS 11.2,260690
1397326,@AppleSupport 11.1 Public beta 5,444937
1368987,"@AppleSupport 1: ios 11.0.3 
2: everything in the comments here:https://t.co/94oZBnIEnm
3: the worse ios deployment to date period!
4: lost product faith",438651
1592796,@AppleSupport Thanks. Now how do you explain my phone shutting itself off randomly and being non-responsive to any amount or duration of key presses?,489557
243304,@AppleSupport Yeah kindly check my reply,173776
354549,@AppleSupport It happens randomly. Not in any app specifically. I think I’ve had to hard boot my iPhone at least 10x today because it kept freezing up,200271
1764451,"@AppleSupport I have sent through DM’s, thanks",530777
2730324,@AppleSupport Thanks for replying. I was actually able to get it to work by turning airplane mode on and off.,180145
1621216,@AppleSupport It worked! Thank you very much,496802
145159,"@AppleSupport 11.1.2 , I’ve turned off the background usage and automatic updates. Still draining the battery",148888
2063441,"@AppleSupport hey, Apple bot from @115858 what r u gonn do? Gimme a new #iPhone with buggy #IOS11? hahaha... A loyal cust. is GONE... hello #samsung!!",610275
2549542,@AppleSupport No haven’t backed up since May and its the July onwards photos I want😭,724390
2293472,"@AppleSupport never mind, I got them back. sorry. 😇",666005
