tweet_id,message,intent,reply,groundedness,relevance,correctness,tone,actionability
1772596,@AppleSupport How about you just put a new update to fix it 🤔,ios_update_issues,"@532764 We've recently released iOS 11.1.1 to correct this issue. To update your iOS device, go to Settings &gt; General &gt; Software Update and tap Download and Install. Please let us know if you ne",,,,,
2802414,"@AppleSupport It’s been super slow, my apps keep shutting down for no reason and it keeps saying “storage full” when I haven’t done anything different",app_malfunction,@781743 Thanks for those details. Let's move to DM so we may better assist you. https://t.co/GDrqU22YpT,,,,,
618562,@AppleSupport battery drain in ios 11 &amp; 11.0.1 &amp; 11.0.2 and also in 11.1 beta !!,battery_drain_after_update,@266758 We are here to help. DM us which iOS device you are using and we can take a look at this for you. https://t.co/GDrqU22YpT,,,,,
1326038,"@AppleSupport If you're curious the solution was to boot into recovery, manually convert the disk to APFS, and then retry the installer  #imac #highsi",unclear,@429407 We're glad to hear that you got back up and running. Let us know if you need help in the future.,,,,,
2049902,"@AppleSupport depois q eu atualizei pro ios 11 a bateria ta durando menos, os aplicativos estão travando muito, wifi liga sozinho, entre outros bugs",unclear,"@606188 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",,,,,
1570992,"@AppleSupport Already have three time, but they refuse to remove the activation lock, even though I know the recovery account, but its one letter out",account_access,"@323583 Understood. Due to account privacy and security, they will be the best team to help with what you're experiencing.",,,,,
945681,@AppleSupport iOS 11 and a 6Splus,ios_update_issues,"@344245 To confirm, are you using iOS 11.0.3? Let us know in DM, and we'll continue working together there. https://t.co/GDrqU22YpT",,,,,
2869719,@AppleSupport Other key details: upgraded phone (7) from ios10 to 11 Sunday. Call #1 was received while phone was locked. I had issues unlocking while,app_malfunction,"@796906 When you were trying to unlock your iPhone, were you using the passcode or Touch ID? Please DM us. https://t.co/GDrqU22YpT",,,,,
1181715,@AppleSupport My 6s Plus just updated last night to 11.0.3. It’s already died twice today. At one point was as 54% &amp; reboot switched it to 77%.,battery_drain_after_update,@397905 That's certainly not expected. Did this ever happen before updating to iOS 11.0.3? Use the DM link below to share details: https://t.co/GDrqU22YpT,,,,,
569251,"@AppleSupport You have no idea how mad I am that copy and paste was the answer all along. Nevertheless, thank you!",unclear,@211148 You're most welcome! Please feel free to reach out to us again if you need any more help. We’re available every day to answer your questions from 5am-8pm Pacific. Have a great night!,,,,,
488005,@AppleSupport No. Audio continues as normal. Picture freezes.,device_crash_freeze,"@231163 Is this happening with videos recorded by your iPhone as well, or only when you are watching videos using apps such as YouTube, Twitter, etc.? Are you connecting to cellular data or Wi-Fi when",,,,,
1412852,"@AppleSupport only that i have problem is my apple id,i lost my password same as my email id password,which is freaking me 😭",account_access,@442917 This article explains what to do if you forgot your Apple ID password: https://t.co/fJnZYmbI9N,,,,,
1765919,"@AppleSupport Overall slowness of app and phone speed, and now this whole letter I️ turning into an A with a question mark box",unclear,@531084 We understand. Let's take a closer look at this issue together in DM. https://t.co/GDrqU22YpT,,,,,
1120569,@AppleSupport shit……iOS 11.0.3 https://t.co/0TQPF7a0S1,ios_update_issues,@175587 We're here to help. Reach out to us in a DM and we will continue there. https://t.co/GDrqU22YpT,,,,,
1721276,@AppleSupport Lol..yes it is.  But that’s not what I’m referring to. This speed of drainage is a new phenomenon for my phone.,battery_drain_after_update,@520913 Thanks for clearing that up for us. Please let us know which model you have and any steps tried so far in DM here: https://t.co/GDrqU22YpT,,,,,
1411640,@AppleSupport Oh well it’s just not charging properly and it’s hooked up to my MacBook,battery_drain_after_update,"@448092 Let's try plugging your charging cable into the USB wall adapter, then plug the adapter into the wall.",,,,,
757177,@AppleSupport Not yet. On 11.0.2. Battery drain galore since iOS 11.,battery_drain_after_update,@300948 We are here for you. Let's take a look at this further for you. Reach out to us in DM. https://t.co/GDrqU22YpT,,,,,
1435786,"@AppleSupport Running iOS 11.1 &amp; WatchOS 4.1
But this happened since iOS 11 &amp; WatchOS 4.0
Is it a bug not detected yet?
In previous versions w",ios_update_issues,"@453327 If you haven't already, try restarting both the Apple Watch and iPhone. Let us know in DM how this works for you: https://t.co/GDrqU22YpT",,,,,
2307956,@AppleSupport Hi version 10.2. Trying to do it wirelessly. Don't have a laptop! :(.,ios_update_issues,@669478 Let's see what we can do about that. Check out this article that helps with updating wirelessly and let us know what you discover: https://t.co/Ui1yTnOCUz,,,,,
