tweet_id,message,intent,reply,groundedness,relevance,correctness,tone,actionability
2636991,"@AppleSupport So can you confirm - if I turn ""off"" wi-fi in the control center in iOS 11, isn't that going to have my phone draining battery because i",app_malfunction,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1772596,@AppleSupport How about you just put a new update to fix it 🤔,ios_update_issues,"I don't have a similar resolved case for this, but we understand how frustrating it is when an update doesn't fully address an issue. We recommend checking for newer iOS patches and trying a force res",,,,,
2802414,"@AppleSupport It’s been super slow, my apps keep shutting down for no reason and it keeps saying “storage full” when I haven’t done anything different",app_malfunction,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
2372229,@AppleSupport It did after restarting/charging,battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1326038,"@AppleSupport If you're curious the solution was to boot into recovery, manually convert the disk to APFS, and then retry the installer  #imac #highsi",unclear,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
945681,@AppleSupport iOS 11 and a 6Splus,ios_update_issues,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
2869719,@AppleSupport Other key details: upgraded phone (7) from ios10 to 11 Sunday. Call #1 was received while phone was locked. I had issues unlocking while,app_malfunction,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1181715,@AppleSupport My 6s Plus just updated last night to 11.0.3. It’s already died twice today. At one point was as 54% &amp; reboot switched it to 77%.,battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1225230,"@AppleSupport Great! iOS 11.0.2. Mail stutters and freezes. Other apps freeze. Reboot occasionally works, most times not. And I need to reboot often.",ios_update_issues,Several similar cases suggest we'd like to gather some additional details to trace these post-update freezes. Could you share your device model and let us know if the issues occur after specific actio,,,,,
2287426,"@AppleSupport It appears to be functioning properly now after restarting as normal... Phew.

Apologies for swearing and being mad - it really stuffed ",app_malfunction,"We're so glad the restart got things back to normal, and we completely understand how frustrating a disrupted morning can be. Several similar resolved cases suggest that a simple restart often clears ",,,,,
569251,"@AppleSupport You have no idea how mad I am that copy and paste was the answer all along. Nevertheless, thank you!",unclear,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
553667,"@AppleSupport yes, i already tried restarting.",unclear,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
2271618,@AppleSupport I have been yes. This seems to pop up from time to time and resists restarting and signing out and in as well. Absolutely infuriating.,unclear,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1120569,@AppleSupport shit……iOS 11.0.3 https://t.co/0TQPF7a0S1,ios_update_issues,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1721276,@AppleSupport Lol..yes it is.  But that’s not what I’m referring to. This speed of drainage is a new phenomenon for my phone.,battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1411640,@AppleSupport Oh well it’s just not charging properly and it’s hooked up to my MacBook,battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
757177,@AppleSupport Not yet. On 11.0.2. Battery drain galore since iOS 11.,battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
2307956,@AppleSupport Hi version 10.2. Trying to do it wirelessly. Don't have a laptop! :(.,ios_update_issues,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
33315,@AppleSupport Battery dies fast as hell now. Phone always is freezing up and I end up having to wait like 15 minutes for it to get unfreeze,battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
944214,@AppleSupport Restarting doesn’t/hasn’t helped. Getting new email doesn’t change the notification either. Perpetually stuck at 1,device_crash_freeze,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1334356,@AppleSupport All 32-bit apps don't work with iOS 11. Frustrating! It would be a consolation if we could use them in previous devices/iOS! Thank you!!,ios_update_issues,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
2295658,"@AppleSupport Yes. I have 11.1.1. 
I updated it on Saturday. Two days back. Since then, I’ve had to charge my phone at least 5 times in a day.",battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1120564,"@AppleSupport Since upgrading to 11.0.3, I can literally watch my battery percentage tick down while using my phone. This is madness! #wtf",battery_drain_after_update,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
902987,"@AppleSupport Have power cycled, toggled VO and zoom on@and off, hard reset; all no go. Want to avoid wipe.",app_malfunction,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
1924729,@AppleSupport Yes i am,unclear,We'd like to help you with this. Could you provide a bit more detail about the issue you're experiencing? You can also DM us for more personalized support.,,,,,
